Date,Open,Close,High,Low,Volume,Change
2016-12-16,38.83,11.586,39.3,38.81,0.85K,-1.10%
2016-12-19,39.07,11.548,39.19,38.76,0.64K,0.62%
2016-12-20,39.38,11.685,39.55,39.28,0.99K,0.79%
2016-12-21,38.94,11.841,39.44,38.9,0.89K,-1.12%
2016-12-22,38.12,11.818,39,38.1,1.55K,-2.11%
2016-12-23,38.03,11.614,38.17,37.85,0.58K,-0.24%
2016-12-26,38.08,11.631,38.59,37.87,0.82K,0.13%
2016-12-27,38.31,11.647,38.4,38,0.44K,0.60%
2016-12-28,38.22,11.696,38.45,38.05,0.32K,-0.23%
2016-12-29,37.93,11.695,38.11,37.72,0.63K,-0.76%
2017-1-2,38,11.612,38.39,37.82,0.29K,0.18%
2017-1-3,37.93,11.638,38.25,37.89,0.77K,-0.18%
2017-1-4,37.35,11.816,38,37.3,1.31K,-1.53%
2017-1-5,36.79,11.691,37.45,36.75,1.99K,-1.50%
2017-1-6,36.5,11.383,36.89,36.5,1.45K,-0.79%
2017-1-9,35.86,11.434,36.55,35.81,1.46K,-1.75%
2017-1-10,34.65,11.118,35.6,34.5,2.30K,-3.37%
2017-1-11,34.62,10.684,34.68,34.16,0.67K,-0.09%
2017-1-12,34.5,10.823,34.94,34.42,0.72K,-0.35%
2017-1-13,34.48,10.728,34.66,34.46,0.27K,-0.06%
2017-1-16,34.26,10.627,34.5,34.28,0.43K,-0.64%
2017-1-17,34.87,10.702,34.99,34.37,1.94K,1.78%
2017-1-18,35.8,10.938,35.87,35.2,2.95K,2.67%
2017-1-19,35.21,11.222,36.12,35.07,2.12K,-1.65%
2017-1-20,34.51,11.036,35.24,34.5,1.76K,-1.99%
2017-1-23,35.45,10.906,35.55,34.5,1.76K,2.72%
2017-1-24,35.25,11.178,36.05,35.07,1.64K,-0.56%
2017-1-26,34.91,11.149,35.55,34.75,1.36K,-0.96%
2017-1-27,35.16,11.114,35.25,34.39,2.16K,0.72%
2017-1-30,34.19,11.209,35.4,34.1,2.46K,-2.76%
2017-1-31,34.35,10.854,34.48,33.85,1.64K,0.47%
2017-2-1,34.58,11.104,34.76,34.24,1.41K,0.67%
2017-2-2,34.18,11.074,34.6,34.05,2.68K,-1.16%
2017-2-3,34.4,10.971,34.65,34.07,1.49K,0.64%
2017-2-6,34.41,11.008,34.97,34.3,1.78K,0.03%
2017-2-7,34.01,10.934,34.3,33.8,1.88K,-1.16%
2017-2-8,34.11,10.871,34.23,33.88,0.71K,0.29%
2017-2-9,34.27,10.964,34.6,34.11,1.42K,0.47%
2017-2-10,35.01,11.043,35.3,34.35,2.93K,2.16%
2017-2-13,35.1,11.35,35.46,34.8,2.20K,0.26%
2017-2-14,34.65,11.394,35.25,34.56,1.41K,-1.28%
2017-2-15,34.2,11.296,34.85,34,3.22K,-1.30%
2017-2-16,34.15,11.023,34.5,34.03,1.61K,-0.15%
2017-2-17,34.13,11.07,34.48,34.05,2.16K,-0.06%
2017-2-20,34.05,11.124,34.44,33.85,1.47K,-0.23%
2017-2-21,34.18,10.925,34.3,33.66,1.37K,0.38%
2017-2-22,34.23,11.26,34.5,34.08,1.78K,0.15%
2017-2-23,34.69,11.3,34.79,34.49,2.21K,1.34%
2017-2-24,34.55,11.064,34.77,34.41,0.83K,-0.40%
2017-3-1,34.81,11.246,35,34.66,0.42K,0.75%
2017-3-2,35.28,11.11,35.37,34.96,1.60K,1.35%
2017-3-3,35.46,11.37,35.68,35.3,2.47K,0.51%
2017-3-6,35.8,11.406,35.95,35.71,1.25K,0.96%
2017-3-7,35.3,11.479,35.9,35.21,1.24K,-1.40%
2017-3-8,35.29,11.198,35.45,35.11,0.41K,-0.03%
2017-3-9,34.86,10.964,35.13,34.8,1.10K,-1.22%
2017-3-10,35.11,11.068,35.15,34.75,0.39K,0.72%
2017-3-13,35.04,11.144,35.22,34.95,0.33K,-0.20%
2017-3-14,34.56,11.008,35.1,34.54,2.06K,-1.37%
2017-3-15,35.1,11.265,35.09,34.93,0.76K,1.56%
